z,p,limit,cascades,verlauf
1,0.17999999999999997,9,932,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 306, 316, 331, 343, 353, 362, 371, 385, 399, 417, 435, 457, 481, 507, 532, 559, 589, 612, 638, 675, 718, 757, 780, 800, 817, 829, 836, 842, 850, 861, 870, 879, 888, 898, 910, 916, 921, 925, 929, 931, 932, 932]"
1,0.18999999999999995,1,156,"[30, 54, 78, 92, 104, 116, 124, 128, 129, 130, 132, 134, 136, 139, 142, 144, 146, 149, 151, 152, 154, 155, 156, 156]"
1,0.18999999999999995,2,585,"[30, 54, 80, 108, 126, 142, 157, 174, 188, 210, 234, 260, 285, 312, 337, 362, 387, 408, 429, 448, 470, 494, 517, 534, 546, 560, 567, 575, 579, 581, 584, 585, 585]"
1,0.18999999999999995,3,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.18999999999999995,4,932,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 306, 316, 331, 343, 353, 362, 371, 385, 399, 417, 435, 457, 481, 507, 532, 559, 589, 612, 638, 675, 718, 757, 780, 800, 817, 829, 836, 842, 850, 861, 870, 879, 888, 898, 910, 916, 921, 925, 929, 931, 932, 932]"
1,0.18999999999999995,5,1346,"[30, 55, 85, 106, 127, 156, 184, 204, 227, 259, 288, 325, 360, 395, 431, 467, 500, 541, 580, 610, 649, 684, 720, 751, 781, 814, 848, 882, 916, 955, 999, 1037, 1079, 1110, 1139, 1169, 1192, 1212, 1234, 1255, 1268, 1283, 1296, 1302, 1309, 1317, 1323, 1326, 1331, 1336, 1339, 1341, 1344, 1346, 1346]"
1,0.18999999999999995,6,749,"[30, 54, 80, 108, 126, 142, 157, 176, 192, 216, 244, 277, 306, 338, 369, 398, 429, 456, 483, 511, 544, 576, 606, 625, 640, 657, 668, 678, 685, 693, 700, 706, 711, 716, 724, 733, 744, 746, 747, 748, 749, 749]"
1,0.18999999999999995,7,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.18999999999999995,8,932,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 306, 316, 331, 343, 353, 362, 371, 385, 399, 417, 435, 457, 481, 507, 532, 559, 589, 612, 638, 675, 718, 757, 780, 800, 817, 829, 836, 842, 850, 861, 870, 879, 888, 898, 910, 916, 921, 925, 929, 931, 932, 932]"
1,0.18999999999999995,9,1346,"[30, 55, 85, 106, 127, 156, 184, 204, 227, 259, 288, 325, 360, 395, 431, 467, 500, 541, 580, 610, 649, 684, 720, 751, 781, 814, 848, 882, 916, 955, 999, 1037, 1079, 1110, 1139, 1169, 1192, 1212, 1234, 1255, 1268, 1283, 1296, 1302, 1309, 1317, 1323, 1326, 1331, 1336, 1339, 1341, 1344, 1346, 1346]"
1,0.19999999999999996,1,264,"[30, 52, 75, 98, 111, 122, 133, 144, 155, 171, 187, 199, 212, 225, 238, 247, 251, 254, 257, 259, 261, 264, 264]"
1,0.19999999999999996,2,371,"[30, 57, 82, 111, 136, 159, 180, 198, 214, 237, 258, 277, 297, 310, 325, 340, 347, 354, 358, 360, 362, 364, 367, 370, 371, 371]"
1,0.19999999999999996,3,932,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 306, 316, 331, 343, 353, 362, 371, 385, 399, 417, 435, 457, 481, 507, 532, 559, 589, 612, 638, 675, 718, 757, 780, 800, 817, 829, 836, 842, 850, 861, 870, 879, 888, 898, 910, 916, 921, 925, 929, 931, 932, 932]"
1,0.19999999999999996,4,1346,"[30, 55, 85, 106, 127, 156, 184, 204, 227, 259, 288, 325, 360, 395, 431, 467, 500, 541, 580, 610, 649, 684, 720, 751, 781, 814, 848, 882, 916, 955, 999, 1037, 1079, 1110, 1139, 1169, 1192, 1212, 1234, 1255, 1268, 1283, 1296, 1302, 1309, 1317, 1323, 1326, 1331, 1336, 1339, 1341, 1344, 1346, 1346]"
1,0.19999999999999996,5,749,"[30, 54, 80, 108, 126, 142, 157, 176, 192, 216, 244, 277, 306, 338, 369, 398, 429, 456, 483, 511, 544, 576, 606, 625, 640, 657, 668, 678, 685, 693, 700, 706, 711, 716, 724, 733, 744, 746, 747, 748, 749, 749]"
1,0.19999999999999996,6,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.19999999999999996,7,932,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 306, 316, 331, 343, 353, 362, 371, 385, 399, 417, 435, 457, 481, 507, 532, 559, 589, 612, 638, 675, 718, 757, 780, 800, 817, 829, 836, 842, 850, 861, 870, 879, 888, 898, 910, 916, 921, 925, 929, 931, 932, 932]"
1,0.19999999999999996,8,1346,"[30, 55, 85, 106, 127, 156, 184, 204, 227, 259, 288, 325, 360, 395, 431, 467, 500, 541, 580, 610, 649, 684, 720, 751, 781, 814, 848, 882, 916, 955, 999, 1037, 1079, 1110, 1139, 1169, 1192, 1212, 1234, 1255, 1268, 1283, 1296, 1302, 1309, 1317, 1323, 1326, 1331, 1336, 1339, 1341, 1344, 1346, 1346]"
